S , 0 , 3 , 0 , 4 : UP
S , 0 , 3 , 1 , 0 : NONE
S , 0 , 3 , 1 , 1 : STAY
S , 0 , 3 , 1 , 2 : STAY
S , 0 , 3 , 1 , 3 : STAY
S , 0 , 3 , 1 , 4 : STAY
S , 1 , 0 , 0 , 0 : NONE
S , 1 , 0 , 0 , 1 : UP
S , 1 , 0 , 0 , 2 : UP
S , 1 , 0 , 0 , 3 : UP
S , 1 , 0 , 0 , 4 : UP
S , 1 , 0 , 1 , 0 : NONE
S , 1 , 0 , 1 , 1 : UP
S , 1 , 0 , 1 , 2 : STAY
S , 1 , 0 , 1 , 3 : UP
S , 1 , 0 , 1 , 4 : UP
S , 1 , 1 , 0 , 0 : NONE
S , 1 , 1 , 0 , 1 : UP
S , 1 , 1 , 0 , 2 : UP
S , 1 , 1 , 0 , 3 : UP
S , 1 , 1 , 0 , 4 : UP
S , 1 , 1 , 1 , 0 : NONE
S , 1 , 1 , 1 , 1 : STAY
S , 1 , 1 , 1 , 2 : STAY
S , 1 , 1 , 1 , 3 : STAY
S , 1 , 1 , 1 , 4 : UP
S , 1 , 2 , 0 , 0 : NONE
S , 1 , 2 , 0 , 1 : UP
S , 1 , 2 , 0 , 2 : UP
S , 1 , 2 , 0 , 3 : UP
S , 1 , 2 , 0 , 4 : UP
S , 1 , 2 , 1 , 0 : NONE
S , 1 , 2 , 1 , 1 : STAY
S , 1 , 2 , 1 , 2 : STAY
S , 1 , 2 , 1 , 3 : STAY
S , 1 , 2 , 1 , 4 : UP
S , 1 , 3 , 0 , 0 : NONE
S , 1 , 3 , 0 , 1 : UP
S , 1 , 3 , 0 , 2 : UP
S , 1 , 3 , 0 , 3 : UP
S , 1 , 3 , 0 , 4 : UP
S , 1 , 3 , 1 , 0 : NONE
S , 1 , 3 , 1 , 1 : STAY
S , 1 , 3 , 1 , 2 : STAY
S , 1 , 3 , 1 , 3 : STAY
S , 1 , 3 , 1 , 4 : STAY
S , 2 , 0 , 0 , 0 : NONE
S , 2 , 0 , 0 , 1 : UP
S , 2 , 0 , 0 , 2 : UP
S , 2 , 0 , 0 , 3 : UP
S , 2 , 0 , 0 , 4 : UP
S , 2 , 0 , 1 , 0 : NONE
S , 2 , 0 , 1 , 1 : UP
S , 2 , 0 , 1 , 2 : UP
S , 2 , 0 , 1 , 3 : UP
S , 2 , 0 , 1 , 4 : UP
S , 2 , 1 , 0 , 0 : NONE
S , 2 , 1 , 0 , 1 : UP
S , 2 , 1 , 0 , 2 : UP
S , 2 , 1 , 0 , 3 : UP
S , 2 , 1 , 0 , 4 : UP
S , 2 , 1 , 1 , 0 : NONE
S , 2 , 1 , 1 , 1 : STAY
S , 2 , 1 , 1 , 2 : UP
S , 2 , 1 , 1 , 3 : STAY
S , 2 , 1 , 1 , 4 : UP
S , 2 , 2 , 0 , 0 : NONE
S , 2 , 2 , 0 , 1 : UP
S , 2 , 2 , 0 , 2 : UP
S , 2 , 2 , 0 , 3 : UP
S , 2 , 2 , 0 , 4 : UP
S , 2 , 2 , 1 , 0 : NONE
S , 2 , 2 , 1 , 1 : STAY
S , 2 , 2 , 1 , 2 : STAY
S , 2 , 2 , 1 , 3 : STAY
S , 2 , 2 , 1 , 4 : UP
S , 2 , 3 , 0 , 0 : NONE
S , 2 , 3 , 0 , 1 : UP
S , 2 , 3 , 0 , 2 : UP
S , 2 , 3 , 0 , 3 : UP
S , 2 , 3 , 0 , 4 : UP
S , 2 , 3 , 1 , 0 : NONE
S , 2 , 3 , 1 , 1 : STAY
S , 2 , 3 , 1 , 2 : STAY
S , 2 , 3 , 1 , 3 : STAY
S , 2 , 3 , 1 , 4 : STAY
W , 0 , 0 , 0 , 0 : NONE
W , 0 , 0 , 0 , 1 : RIGHT
W , 0 , 0 , 0 , 2 : RIGHT
W , 0 , 0 , 0 , 3 : RIGHT
W , 0 , 0 , 0 , 4 : RIGHT
W , 0 , 0 , 1 , 0 : NONE
W , 0 , 0 , 1 , 1 : RIGHT
W , 0 , 0 , 1 , 2 : STAY
W , 0 , 0 , 1 , 3 : RIGHT
W , 0 , 0 , 1 , 4 : RIGHT
W , 0 , 1 , 0 , 0 : NONE
W , 0 , 1 , 0 , 1 : RIGHT
W , 0 , 1 , 0 , 2 : RIGHT
W , 0 , 1 , 0 , 3 : RIGHT
W , 0 , 1 , 0 , 4 : RIGHT
W , 0 , 1 , 1 , 0 : NONE
W , 0 , 1 , 1 , 1 : STAY
W , 0 , 1 , 1 , 2 : SHOOT
W , 0 , 1 , 1 , 3 : RIGHT
W , 0 , 1 , 1 , 4 : RIGHT
W , 0 , 2 , 0 , 0 : NONE
W , 0 , 2 , 0 , 1 : RIGHT
W , 0 , 2 , 0 , 2 : RIGHT
W , 0 , 2 , 0 , 3 : RIGHT
W , 0 , 2 , 0 , 4 : RIGHT
W , 0 , 2 , 1 , 0 : NONE
W , 0 , 2 , 1 , 1 : SHOOT
W , 0 , 2 , 1 , 2 : STAY
W , 0 , 2 , 1 , 3 : SHOOT
W , 0 , 2 , 1 , 4 : RIGHT
W , 0 , 3 , 0 , 0 : NONE
W , 0 , 3 , 0 , 1 : SHOOT
W , 0 , 3 , 0 , 2 : RIGHT
W , 0 , 3 , 0 , 3 : RIGHT
W , 0 , 3 , 0 , 4 : RIGHT
W , 0 , 3 , 1 , 0 : NONE
W , 0 , 3 , 1 , 1 : SHOOT
W , 0 , 3 , 1 , 2 : SHOOT
W , 0 , 3 , 1 , 3 : STAY
W , 0 , 3 , 1 , 4 : SHOOT
W , 1 , 0 , 0 , 0 : NONE
W , 1 , 0 , 0 , 1 : RIGHT
W , 1 , 0 , 0 , 2 : RIGHT
W , 1 , 0 , 0 , 3 : RIGHT
W , 1 , 0 , 0 , 4 : RIGHT
W , 1 , 0 , 1 , 0 : NONE
W , 1 , 0 , 1 , 1 : RIGHT
W , 1 , 0 , 1 , 2 : RIGHT
W , 1 , 0 , 1 , 3 : RIGHT
W , 1 , 0 , 1 , 4 : RIGHT
W , 1 , 1 , 0 , 0 : NONE
W , 1 , 1 , 0 , 1 : RIGHT
W , 1 , 1 , 0 , 2 : RIGHT
W , 1 , 1 , 0 , 3 : RIGHT
W , 1 , 1 , 0 , 4 : RIGHT
W , 1 , 1 , 1 , 0 : NONE
W , 1 , 1 , 1 , 1 : STAY
W , 1 , 1 , 1 , 2 : SHOOT
W , 1 , 1 , 1 , 3 : RIGHT
W , 1 , 1 , 1 , 4 : RIGHT
W , 1 , 2 , 0 , 0 : NONE
W , 1 , 2 , 0 , 1 : RIGHT
W , 1 , 2 , 0 , 2 : RIGHT
W , 1 , 2 , 0 , 3 : RIGHT
W , 1 , 2 , 0 , 4 : RIGHT
W , 1 , 2 , 1 , 0 : NONE
W , 1 , 2 , 1 , 1 : SHOOT
W , 1 , 2 , 1 , 2 : STAY
W , 1 , 2 , 1 , 3 : SHOOT
W , 1 , 2 , 1 , 4 : RIGHT
W , 1 , 3 , 0 , 0 : NONE
W , 1 , 3 , 0 , 1 : SHOOT
W , 1 , 3 , 0 , 2 : RIGHT
W , 1 , 3 , 0 , 3 : RIGHT
